scenario,seed,policy,n_queries,buyer_version,revenue,accept_rate,mean_satisfaction,avg_price,avg_nprobe,avg_margin
S1,42,fixed,5000,must_serve,24.56590762004816,1.0,0.2646991191307555,0.005222999999999999,33.9824,0.004913181524009677
S1,42,hetero_linucb,5000,must_serve,36.368006794859085,1.0,0.39079953053234,0.007646200000000001,48.9696,0.0072736013589718386
S1,123,fixed,5000,must_serve,24.67839328980777,1.0,0.26123138492873466,0.0052461999999999995,34.1008,0.00493567865796159
S1,123,hetero_linucb,5000,must_serve,36.996309645315186,1.0,0.3870061207949095,0.0077678,48.5856,0.00739926192906308
S1,456,fixed,5000,must_serve,24.799690649969026,1.0,0.2627892283739723,0.0052569999999999995,33.9008,0.004959938129993854
S1,456,hetero_linucb,5000,must_serve,36.81350520983853,1.0,0.3907985256421796,0.007724600000000001,50.2128,0.007362701041967747
S2,42,fixed,5000,must_serve,24.65234916009107,1.0,0.9970155144393542,0.005222999999999999,33.9824,0.004930469832018251
S2,42,hetero_linucb,5000,must_serve,36.267949690001714,1.0,0.9635586404224483,0.007622200000000001,49.0304,0.0072535899380003575
S2,123,fixed,5000,must_serve,24.700822444836334,1.0,0.9959574426230956,0.0052461999999999995,34.1008,0.004940164488967322
S2,123,hetero_linucb,5000,must_serve,36.85781513501217,1.0,0.9655914319365675,0.0077304,48.624,0.007371563027002476
S2,456,fixed,5000,must_serve,24.801455224965288,1.0,0.9968894888101244,0.0052569999999999995,33.9008,0.004960291044993093
S2,456,hetero_linucb,5000,must_serve,36.61043270973338,1.0,0.9664883872862065,0.0076918,50.192,0.007322086541946698
S3,42,fixed,5000,must_serve,24.589630164785458,1.0,0.955798897099071,0.005222999999999999,33.9824,0.004917926032957156
S3,42,hetero_linucb,5000,must_serve,36.420654924978685,1.0,0.9358367588467909,0.007652000000000001,49.04,0.007284130984995747
S3,123,fixed,5000,must_serve,24.69822198985502,1.0,0.955122967548597,0.0052461999999999995,34.1008,0.004939644397971034
S3,123,hetero_linucb,5000,must_serve,36.83351102494003,1.0,0.935087955485096,0.007768800000000002,48.6352,0.007366702204988059
S3,456,fixed,5000,must_serve,24.531388029667735,1.0,0.9544426329693276,0.0052569999999999995,33.9008,0.004906277605933603
S3,456,hetero_linucb,5000,must_serve,36.61739209465634,1.0,0.9374785155374901,0.0077458,50.1296,0.007323478418931319
S4,42,fixed,5000,must_serve,24.40027432029932,1.0,0.9700372588435772,0.005222999999999999,33.9824,0.004880054864059901
S4,42,hetero_linucb,5000,must_serve,36.37150620471459,1.0,0.954909886821805,0.0076882,48.952,0.007274301240942954
S4,123,fixed,5000,must_serve,24.492148755013424,1.0,0.9692195295311818,0.0052461999999999995,34.1008,0.004898429751002742
S4,123,hetero_linucb,5000,must_serve,36.72934463468685,1.0,0.954840941390807,0.007762800000000001,48.5584,0.007345868926937413
S4,456,fixed,5000,must_serve,24.572889829918115,1.0,0.9685963647939146,0.0052569999999999995,33.9008,0.004914577965983655
S4,456,hetero_linucb,5000,must_serve,36.46648905493094,1.0,0.9562153945626194,0.007725200000000001,50.1808,0.007293297810986221
S5,42,fixed,5000,must_serve,24.31547323993039,1.0,0.9041970136402259,0.005222999999999999,33.9824,0.004863094647986116
S5,42,hetero_linucb,5000,must_serve,36.140227329967686,1.0,0.8629876303911577,0.0076304,48.9264,0.007228045465993556
S5,123,fixed,5000,must_serve,24.553265985340182,1.0,0.9115171367016032,0.0052461999999999995,34.1008,0.004910653197068069
S5,123,hetero_linucb,5000,must_serve,36.96344588004329,1.0,0.8751148585361962,0.0077724000000000005,48.5344,0.007392689176008665
S5,456,fixed,5000,must_serve,24.736030159991763,1.0,0.9144663791792597,0.0052569999999999995,33.9008,0.004947206031998387
S5,456,hetero_linucb,5000,must_serve,36.737224655072474,1.0,0.8853978741744917,0.007715400000000001,50.1504,0.0073474449310145335
S6,42,fixed,5000,must_serve,24.59848033004423,1.0,0.9993704118136111,0.005222999999999999,33.9824,0.004919696066008881
S6,42,hetero_linucb,5000,must_serve,36.34010328484291,1.0,0.9985274007220553,0.007640600000000001,48.9568,0.007268020656968606
S6,123,fixed,5000,must_serve,24.6913957201294,1.0,0.9997742097451834,0.0052461999999999995,34.1008,0.00493827914402592
S6,123,hetero_linucb,5000,must_serve,36.89836538009524,1.0,0.9984885557866368,0.007761600000000001,48.4416,0.007379673076019062
S6,456,fixed,5000,must_serve,24.697014284980035,1.0,0.9990376677541662,0.0052569999999999995,33.9008,0.00493940285699605
S6,456,hetero_linucb,5000,must_serve,36.753996990157496,1.0,0.9989053913174055,0.007740800000000002,50.176,0.007350799398031505
S_mix,42,fixed,5000,must_serve,24.52222424985704,1.0,0.8872216679929441,0.005222999999999999,33.9824,0.004904444849971449
S_mix,42,hetero_linucb,5000,must_serve,36.28031855972734,1.0,0.8633447430159858,0.007639200000000001,49.032,0.007256063711945479
S_mix,123,fixed,5000,must_serve,24.631966059922757,1.0,0.8864177529611131,0.0052461999999999995,34.1008,0.004926393211984588
S_mix,123,hetero_linucb,5000,must_serve,37.14169398958285,1.0,0.8674806802393324,0.007758800000000001,48.5952,0.007428338797916613
S_mix,456,fixed,5000,must_serve,24.8675856050359,1.0,0.8923042892585427,0.0052569999999999995,33.9008,0.004973517121007201
S_mix,456,hetero_linucb,5000,must_serve,37.13659373016766,1.0,0.8838208255873172,0.007697,50.1552,0.00742731874603359
