tier,tier_label,seed,policy,n_queries,revenue,accept_rate,avg_price,avg_price_minus_budget,w_n,w_fair_price_mean,w_fair_price_std,w_fair_price_min,w_fair_price_max,w_U_t_mean,w_U_t_std,w_easy_frac,w_hard_frac,w_budget_mean,w_budget_std,w_budget_fair_ratio_mean,w_budget_below_80pct_fair_frac,w_budget_above_120pct_fair_frac
1,tier1_random_low,42,fixed,5000,14.08710331498932,0.5948,0.005298599999999999,0.0041412,5000,0.005907873641338425,0.0003894114502973866,0.00544823185384362,0.006660303336195924,0.9127311684966087,0.021739276020805484,0.0,0.0,0.0011574000000000003,0.0006213897649623786,0.19666927050937472,1.0,0.0
1,tier1_random_low,42,linucb,5000,16.128010650286814,0.5928,0.007611400000000001,0.0064540000000000005,5000,0.005907873641338425,0.0003894114502973866,0.00544823185384362,0.006660303336195924,0.9127311684966087,0.021739276020805484,0.0,0.0,0.0011574000000000003,0.0006213897649623786,0.19666927050937472,1.0,0.0
1,tier1_random_low,42,qnet,5000,16.187334032621564,0.6012,0.0076256,0.006468200000000001,5000,0.005907873641338425,0.0003894114502973866,0.00544823185384362,0.006660303336195924,0.9127311684966087,0.021739276020805484,0.0,0.0,0.0011574000000000003,0.0006213897649623786,0.19666927050937472,1.0,0.0
1,tier1_random_low,42,cost,5000,3.374568242266113,0.8736,0.0010000000000000002,-0.0001574,5000,0.005907873641338425,0.0003894114502973866,0.00544823185384362,0.006660303336195924,0.9127311684966087,0.021739276020805484,0.0,0.0,0.0011574000000000003,0.0006213897649623786,0.19666927050937472,1.0,0.0
2,tier2_cost_micro,42,fixed,5000,21.3546601023072,0.8804,0.005298599999999999,-0.000610877556926647,5000,0.005909406613612776,0.00039264119134952097,0.005439844802796928,0.006660303336195924,0.9125845207691192,0.021710051433854786,0.0,0.0,0.005909477556926648,0.0005164474956668454,1.0000674910914902,0.0,0.0
2,tier2_cost_micro,42,linucb,5000,20.064242840008973,0.73,0.0075944,0.0016849224430733531,5000,0.005909406613612776,0.00039264119134952097,0.005439844802796928,0.006660303336195924,0.9125845207691192,0.021710051433854786,0.0,0.0,0.005909477556926648,0.0005164474956668454,1.0000674910914902,0.0,0.0
2,tier2_cost_micro,42,qnet,5000,20.153858068496813,0.7326,0.007603200000000001,0.001693722443073353,5000,0.005909406613612776,0.00039264119134952097,0.005439844802796928,0.006660303336195924,0.9125845207691192,0.021710051433854786,0.0,0.0,0.005909477556926648,0.0005164474956668454,1.0000674910914902,0.0,0.0
2,tier2_cost_micro,42,cost,5000,3.6440495535906465,0.93,0.0010000000000000002,-0.004909477556926648,5000,0.005909406613612776,0.00039264119134952097,0.005439844802796928,0.006660303336195924,0.9125845207691192,0.021710051433854786,0.0,0.0,0.005909477556926648,0.0005164474956668454,1.0000674910914902,0.0,0.0
3,tier3_polarized,42,fixed,5000,21.980327285198992,0.8902,0.005298599999999999,-0.01067061563892797,5000,0.016566441472797774,0.0045238192173314516,0.0112561640558332,0.022871638571226892,0.9133075212240219,0.022128760310303922,0.0,1.0,0.015969215638927968,0.0038611115141830507,0.9728618197887121,0.0,0.0
3,tier3_polarized,42,linucb,5000,24.670431903946042,0.7902,0.007606200000000001,-0.00836301563892797,5000,0.016566441472797774,0.0045238192173314516,0.0112561640558332,0.022871638571226892,0.9133075212240219,0.022128760310303922,0.0,1.0,0.015969215638927968,0.0038611115141830507,0.9728618197887121,0.0,0.0
3,tier3_polarized,42,qnet,5000,27.365162390855208,0.7818,0.0086754,-0.007293815638927968,5000,0.016566441472797774,0.0045238192173314516,0.0112561640558332,0.022871638571226892,0.9133075212240219,0.022128760310303922,0.0,1.0,0.015969215638927968,0.0038611115141830507,0.9728618197887121,0.0,0.0
3,tier3_polarized,42,cost,5000,3.6040221459165216,0.9202,0.0010000000000000002,-0.014969215638927969,5000,0.016566441472797774,0.0045238192173314516,0.0112561640558332,0.022871638571226892,0.9133075212240219,0.022128760310303922,0.0,1.0,0.015969215638927968,0.0038611115141830507,0.9728618197887121,0.0,0.0
