seed,policy,reward_mode,n_queries,revenue,accept_rate,avg_price,avg_nprobe,avg_margin,w_n,w_budget_std,w_fair_std,w_budget_fair_ratio,w_enterprise_frac,w_budget_frac,w_easy_frac,w_hard_frac,w_budget_enterprise_mean,w_budget_budget_mean
42,fixed,satisfaction_retention,10000,25.92617850214254,0.615,0.005294099999999999,33.552,0.00508728479560432,10000,0.01664439866660993,0.01738050552489057,1.0139885175866328,0.2501,0.4994,0.33,0.33,0.02789836551718396,0.0016386485858164567
42,hetero_linucb,satisfaction_retention,10000,28.979430349435646,0.5936,0.007659300000000002,49.1848,0.007414337523998181,10000,0.01664439866660993,0.01738050552489057,1.0139885175866328,0.2501,0.4994,0.33,0.33,0.02789836551718396,0.0016386485858164567
123,fixed,satisfaction_retention,10000,25.904750741061477,0.6194,0.0052533,33.8016,0.005048224111170694,10000,0.016138092109090986,0.01701070489777294,1.025094143216069,0.2517,0.4995,0.33,0.33,0.026585690603761394,0.001645293830891484
123,hetero_linucb,satisfaction_retention,10000,28.45111546584645,0.5904,0.0076546999999999995,48.584,0.00741048734128154,10000,0.016138092109090986,0.01701070489777294,1.025094143216069,0.2517,0.4995,0.33,0.33,0.026585690603761394,0.001645293830891484
456,fixed,satisfaction_retention,10000,24.879361202803246,0.6073,0.0052425,33.7208,0.005037811584203155,10000,0.016282389543036315,0.01716321029233323,1.018238307310012,0.2519,0.501,0.33,0.33,0.026957991908325374,0.0016360665396756974
456,hetero_linucb,satisfaction_retention,10000,28.08747092076227,0.5946,0.007601100000000001,49.4928,0.0073540145826969765,10000,0.016282389543036315,0.01716321029233323,1.018238307310012,0.2519,0.501,0.33,0.33,0.026957991908325374,0.0016360665396756974
