seed,policy,reward_mode,n_queries,revenue,accept_rate,avg_price,avg_nprobe,avg_margin,w_n,w_budget_std,w_fair_std,w_budget_fair_ratio,w_enterprise_frac,w_budget_frac,w_easy_frac,w_hard_frac,w_budget_enterprise_mean,w_budget_budget_mean
42,fixed,satisfaction_retention,10000,12.035991125277526,0.4512,0.005294099999999999,33.552,0.005135417640487106,10000,0.0143808393967341,0.015151768372138405,1.0613038432726185,0.2501,0.4994,0.33,0.33,0.02441995855173236,0.0016282077716997891
42,hetero_linucb,satisfaction_retention,10000,15.56907497593287,0.4373,0.0076521,49.192,0.007471607817021804,10000,0.0143808393967341,0.015151768372138405,1.0613038432726185,0.2501,0.4994,0.33,0.33,0.02441995855173236,0.0016282077716997891
123,fixed,satisfaction_retention,10000,11.849319721661447,0.4483,0.0052533,33.8016,0.005094345976010501,10000,0.014856625431779086,0.015497909475709715,1.0483613642759981,0.2517,0.4995,0.33,0.33,0.025438945062308385,0.0016230467753212325
123,hetero_linucb,satisfaction_retention,10000,16.167777536213237,0.4413,0.007657400000000001,48.516,0.007478984750940674,10000,0.014856625431779086,0.015497909475709715,1.0483613642759981,0.2517,0.4995,0.33,0.33,0.025438945062308385,0.0016230467753212325
456,fixed,satisfaction_retention,10000,12.148754110297642,0.4513,0.0052425,33.7208,0.005083621340023819,10000,0.014491076488801389,0.015218191386467144,1.0545469570048616,0.2519,0.501,0.33,0.33,0.024491239115011516,0.0016290527075744534
456,hetero_linucb,satisfaction_retention,10000,15.905932146992033,0.4423,0.007615600000000001,49.46,0.00743607890048707,10000,0.014491076488801389,0.015218191386467144,1.0545469570048616,0.2519,0.501,0.33,0.33,0.024491239115011516,0.0016290527075744534
