seed,policy,reward_mode,n_queries,revenue,accept_rate,avg_price,avg_nprobe,avg_margin,w_n,w_budget_std,w_fair_std,w_budget_fair_ratio,w_enterprise_frac,w_budget_frac,w_easy_frac,w_hard_frac,w_budget_enterprise_mean,w_budget_budget_mean
42,fixed,satisfaction_retention,10000,27.291752374087537,0.6294,0.005294099999999999,33.552,0.005109706361514656,10000,0.016508791436949936,0.01733627248604757,1.017026707249524,0.2501,0.4994,0.33,0.33,0.02759351647633937,0.001638901350094629
42,hetero_linucb,satisfaction_retention,10000,30.48581333682583,0.6102,0.007650700000000001,49.2424,0.007435663165021036,10000,0.016508791436949936,0.01733627248604757,1.017026707249524,0.2501,0.4994,0.33,0.33,0.02759351647633937,0.001638901350094629
123,fixed,satisfaction_retention,10000,26.570222096542828,0.625,0.0052533,33.8016,0.005068979850504384,10000,0.01618091332556398,0.01701075908428502,1.0300454496849178,0.2517,0.4995,0.33,0.33,0.02671120626554447,0.0016479751649269316
123,hetero_linucb,satisfaction_retention,10000,29.401896472604957,0.6011,0.007654300000000001,48.5896,0.007438282258999604,10000,0.01618091332556398,0.01701075908428502,1.0300454496849178,0.2517,0.4995,0.33,0.33,0.02671120626554447,0.0016479751649269316
456,fixed,satisfaction_retention,10000,26.234140474646548,0.6222,0.0052425,33.7208,0.005058244176998269,10000,0.016402247246662446,0.017240513402975246,1.0161705541108539,0.2519,0.501,0.33,0.33,0.027223468359151955,0.0016333458487257447
456,hetero_linucb,satisfaction_retention,10000,29.79622795127561,0.6023,0.007625700000000001,49.4536,0.007410529241939588,10000,0.016402247246662446,0.017240513402975246,1.0161705541108539,0.2519,0.501,0.33,0.33,0.027223468359151955,0.0016333458487257447
